02-11 12:43:55.881 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.929 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.977 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.023 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.072 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.123 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:56.123 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:56.167 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.211 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.256 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.301 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.348 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.393 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.436 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.485 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.531 32143 32143 D ConversationalARService: Video completed. Current state: PLAYING_INTRO
02-11 12:43:56.543 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.592  1199  4742 I SpeechRecognitionManagerServiceImpl: Client 10433 has opened 1 sessions
02-11 12:43:56.698 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.783 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.831 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.889 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.971 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.026 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.084 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.165 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.239 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.292 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.353 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.404 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.458 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.532 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.558 32143 32143 E SpeechRecognitionManager: onError: Insufficient permissions
02-11 12:43:57.604 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.658 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.723 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.789 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.847 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.898 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.954 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.031 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.082 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.138 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:58.138 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:58.202 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.267 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.323 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.373 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.422 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.469 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.522 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.547 32143 32143 D SpeechRecognitionManager: Silence detected for 2000ms
02-11 12:43:58.548 32143 32143 D ConversationalARService: Silence detected, moving to response
02-11 12:43:58.550 32143 32143 E SpeechRecognitionManager: onError: Client side error
02-11 12:43:58.551 32143 32143 E SpeechRecognitionManager: onError: Client side error
02-11 12:43:58.584 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.631 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.676 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.730 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.773 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.827 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.873 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.920 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.964 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.008 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.056 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.105 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.166 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.219 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.275 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.332 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.393 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.450 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.519 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.582 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.638 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.699 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.757 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.813 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.872 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.939 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:59.997 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.055 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.116 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.177 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.239 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.304 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.365 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.421 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.475 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.531 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.583 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.635 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.692 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.754 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.810 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.862 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.923 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:00.982 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.041 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:44:01.041 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:44:01.114 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.171 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.220 32143 32149 I com.talkar.app: Compiler allocated 4130KB to compile void com.talkar.app.ui.components.SimplifiedCameraPreviewKt.SimplifiedCameraPreview(kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, androidx.compose.ui.Modifier, androidx.compose.runtime.Composer, int, int)
02-11 12:44:01.237 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.316 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.383 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.441 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.490 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.541 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.597 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.653 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.707 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.757 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.807 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.859 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.919 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:01.971 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.023 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.086 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.140 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.194 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.251 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.302 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.360 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.409 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.456 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.506 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.556 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.606 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.654 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.703 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.756 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
