02-11 12:24:12.806 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.859 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.919 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.973 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.025 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.083 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.136 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.188 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.238 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.288 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.340 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.386 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.439 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:24:13.439 24127 24127 W SimplifiedCamera: MATCH DISCARDED: Found Sunrich Bottle BUT NO FACE DETECTED.
02-11 12:24:13.485 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.533 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.579 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.625 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.678 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.728 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.774 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.818 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.874 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.916 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:13.964 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.012 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.066 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.118 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.162 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.208 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.256 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.310 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.365 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.414 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.485 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.538 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.593 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.641 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.692 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.750 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.802 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.853 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:14.944 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:14.944 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.027 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.027 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.113 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.113 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.190 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.190 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.270 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.270 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.346 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.346 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.419 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.419 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.495 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.495 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.569 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.569 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.646 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.646 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.726 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.727 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.804 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.804 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.886 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.886 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:15.975 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:15.975 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.051 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=true
02-11 12:24:16.054 24127 24127 I SimplifiedCamera: HYBRID SUCCESS: Face + Sunrich Bottle
02-11 12:24:16.152 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.152 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.223 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.223 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.298 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.298 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.371 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.371 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.444 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.444 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.519 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.519 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.593 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.593 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.665 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.665 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.741 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.741 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.812 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.812 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.888 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.888 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:16.960 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:16.960 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.034 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.034 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.128 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.128 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.206 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.206 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.283 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.283 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.362 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.362 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.436 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.436 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.512 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.513 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.587 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.587 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.661 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.661 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.741 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.741 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.814 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.814 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.891 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:17.892 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:17.967 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
